id,name,tpo
1,Узбекистан,10
2,Казахстан,11
3,Россия,20
4,Казахстан TNS-Plus,201
5,Россия,21
6,Россия,22
7,Киргизия,35
8,Таджикистан,37
9,Таджикистан,38
10,Таджикистан,39
11,операторы,50
12,Британия,51
13,Китай,52
14,Германия,54
15,Альфа Телеком,60
16,Кател,61
17,Винлайн,62
18,Сайма Телеком,63
19,МТВС,64
20,АкТел,65
21,Скай Мобайл,66
22,ЭлКат,67
23,Нур Телеком,69
24,ПосСША,74
25,НЭСК,75
