id,index,name
1,1,Арендатор связи АС-9.АС-95
2,2,"Аренда номерная, Служебне каналы ОПУ,УПУ"
3,3,каналы тч других потребителей без номерного обозначения
4,4,"каналы ПД,ТТ, Служебные каналы тех. Эксплуатации каналы 
                        КСС"
5,5,"резервные каналы передачи, используемые в графиках обходов и
                        Замен"
6,6,каналы ТфОП и подменные тракты
7,7,временно незадействованные каналы передачи
8,8,Каналы циф ТВ
9,9,Бронь
10,10,Без донесения
